epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,13603.7,0.73638,1.2488,0.17937,0.57551,0.9212,0.75674,0.33577,0.39148,0.2609,0.64382,0.23104,0.21764,0.14747,0.78854,1.50366,0.16877,0.62598,0.93557,0.0001295,0.0001295,0.0001295
86,13750.5,0.74204,1.23469,0.18067,0.59768,0.92849,0.8377,0.36161,0.38387,0.25152,0.76411,0.25513,0.24538,0.15915,0.78417,1.49244,0.16781,0.62777,0.93532,0.000121887,0.000121887,0.000121887
87,13868.2,0.73893,1.21233,0.18067,0.5827,0.92523,0.7529,0.35822,0.40916,0.27448,0.65842,0.23588,0.23838,0.15116,0.79528,1.48935,0.16778,0.63136,0.93593,0.000114273,0.000114273,0.000114273
88,13987,0.73619,1.2331,0.17815,0.58106,0.91873,0.64534,0.3843,0.39928,0.26362,0.54158,0.27989,0.24934,0.15829,0.78605,1.49146,0.16821,0.62933,0.93599,0.00010666,0.00010666,0.00010666
89,14111,0.74406,1.2318,0.17932,0.58958,0.92271,0.60778,0.39891,0.40084,0.26653,0.78965,0.25145,0.23747,0.15726,0.78371,1.47957,0.16766,0.62321,0.93556,9.90472e-05,9.90472e-05,9.90472e-05
90,14238.7,0.71778,1.20216,0.18158,0.57988,0.91616,0.65334,0.40501,0.39648,0.25854,0.51868,0.25585,0.22705,0.16024,0.79284,1.46294,0.16755,0.64308,0.93423,9.14341e-05,9.14341e-05,9.14341e-05
91,14375.4,0.73112,1.24761,0.17669,0.5866,0.91809,0.63885,0.37185,0.39676,0.26323,0.78253,0.25473,0.24467,0.15877,0.79793,1.50689,0.16879,0.63562,0.94073,8.3821e-05,8.3821e-05,8.3821e-05
92,14493.5,0.71566,1.19378,0.17665,0.56994,0.90939,0.57897,0.4179,0.39772,0.26657,0.64458,0.2559,0.24429,0.15195,0.79222,1.48871,0.16737,0.63068,0.93499,7.62079e-05,7.62079e-05,7.62079e-05
93,14626.5,0.72069,1.17204,0.17662,0.57201,0.91535,0.48865,0.41559,0.38948,0.26006,0.56876,0.26364,0.2346,0.14992,0.79422,1.47325,0.16592,0.62641,0.93542,6.85948e-05,6.85948e-05,6.85948e-05
94,14756.5,0.70671,1.17622,0.17627,0.55734,0.90989,0.8535,0.35844,0.39056,0.24983,0.78503,0.2409,0.24029,0.15569,0.78517,1.44737,0.16651,0.63224,0.93468,6.09817e-05,6.09817e-05,6.09817e-05
95,14874.8,0.7024,1.15835,0.17509,0.59176,0.90255,0.61486,0.41035,0.39365,0.26088,0.51286,0.27579,0.23464,0.15723,0.78956,1.44655,0.16603,0.63218,0.9366,5.33686e-05,5.33686e-05,5.33686e-05
96,14994.2,0.70383,1.16281,0.17611,0.54788,0.90437,0.62946,0.44701,0.39081,0.26207,0.53588,0.28409,0.24165,0.159,0.79353,1.44617,0.16643,0.62544,0.93647,4.57555e-05,4.57555e-05,4.57555e-05
97,15109.1,0.71612,1.11946,0.17491,0.55998,0.90923,0.61942,0.45165,0.39865,0.26307,0.54403,0.2676,0.23792,0.15704,0.78963,1.45138,0.16564,0.6208,0.93699,3.81424e-05,3.81424e-05,3.81424e-05
98,15224.8,0.70371,1.13923,0.17474,0.55286,0.90673,0.65129,0.44055,0.41472,0.27208,0.71843,0.29227,0.26233,0.16607,0.78959,1.43582,0.1664,0.62394,0.93616,3.05293e-05,3.05293e-05,3.05293e-05
99,15343.9,0.7071,1.14076,0.17534,0.54875,0.90356,0.60335,0.44707,0.40587,0.26618,0.66874,0.27508,0.23953,0.16064,0.78387,1.43263,0.1661,0.6202,0.93549,2.29162e-05,2.29162e-05,2.29162e-05
100,15471.4,0.70816,1.11501,0.17601,0.54647,0.90051,0.6249,0.40329,0.39618,0.25911,0.5195,0.27602,0.23807,0.16235,0.78371,1.42749,0.16556,0.61857,0.93712,1.53031e-05,1.53031e-05,1.53031e-05
